timestamp,peer,event,method,elapsed_ms,note
2026-05-27T10:46:19.401,bob,JOIN,start,787,ok
2026-05-27T10:46:20.466,duc,JOIN,start,682,ok
2026-05-27T10:46:26.543,bob,CRASH,kill,647,ok
2026-05-27T10:46:40.664,hoang,LEAVE,graceful,954,ok
2026-05-27T10:46:49.308,duc,CRASH,kill,643,ok
2026-05-27T10:47:03.032,bob,JOIN,start,539,ok
2026-05-27T10:47:12.007,hoang,JOIN,start,769,ok
2026-05-27T10:47:18.997,duc,JOIN,start,1494,ok
2026-05-27T10:47:25.004,alice,FINAL_STATE_ONLINE,snapshot,0,
2026-05-27T10:47:25.004,bob,FINAL_STATE_ONLINE,snapshot,0,
2026-05-27T10:47:25.004,duc,FINAL_STATE_ONLINE,snapshot,0,
2026-05-27T10:47:25.004,hoang,FINAL_STATE_ONLINE,snapshot,0,
2026-05-27T10:47:25.004,hoan,FINAL_STATE_ONLINE,snapshot,0,
