timestamp,peer,event,method,elapsed_ms,note
2026-05-26T21:48:59.938,duc,LEAVE,graceful,1559,ok
2026-05-26T21:49:16.858,duc,JOIN,start,865,ok
2026-05-26T21:49:19.802,hoang,LEAVE,graceful,942,ok
2026-05-26T21:49:36.384,hoang,JOIN,start,552,ok
2026-05-26T21:49:55.097,alice,LEAVE,graceful,885,ok
2026-05-26T21:49:55.905,hoang,LEAVE,graceful,808,ok
2026-05-26T21:50:12.435,alice,JOIN,start,512,ok
2026-05-26T21:50:15.170,hoang,JOIN,start,554,ok
2026-05-26T21:50:18.110,hoan,LEAVE,graceful,938,ok
2026-05-26T21:50:34.804,bob,LEAVE,graceful,847,ok
2026-05-26T21:50:51.422,bob,JOIN,start,589,ok
2026-05-26T21:50:54.289,duc,LEAVE,graceful,865,ok
2026-05-26T21:50:55.018,hoan,JOIN,start,543,ok
2026-05-26T21:51:13.729,bob,LEAVE,graceful,840,ok
2026-05-26T21:51:46.130,bob,JOIN,start,504,ok
2026-05-26T21:51:49.007,hoang,LEAVE,graceful,876,ok
