sim_time,event,peer,detail
247.17,SEND_MSG,,skip: <2 peers online
249.65,SEND_MSG,,skip: <2 peers online
250.00,HEARTBEAT,,online=0 neighs~1
255.00,HEARTBEAT,,online=0 neighs~1
260.00,HEARTBEAT,,online=0 neighs~1
262.70,SEND_MSG,,skip: <2 peers online
265.00,HEARTBEAT,,online=0 neighs~1
270.00,HEARTBEAT,,online=0 neighs~1
270.39,SEND_MSG,,skip: <2 peers online
272.07,SEND_MSG,,skip: <2 peers online
275.00,HEARTBEAT,,online=0 neighs~1
278.03,SEND_MSG,,skip: <2 peers online
280.00,HEARTBEAT,,online=0 neighs~1
284.59,SEND_MSG,,skip: <2 peers online
285.00,HEARTBEAT,,online=0 neighs~1
290.00,HEARTBEAT,,online=0 neighs~1
292.24,SEND_MSG,,skip: <2 peers online
295.00,HEARTBEAT,,online=0 neighs~1
297.66,SEND_MSG,,skip: <2 peers online
300.00,END,,simulation complete
