timestamp,peer,event,method,elapsed_ms,note
2026-05-27T10:00:51.767,alice,LEAVE,graceful,891,ok
2026-05-27T10:00:52.355,hoan,CRASH,kill,588,ok
2026-05-27T10:01:08.963,duc,LEAVE,graceful,818,ok
2026-05-27T10:01:10.095,hoan,JOIN,start,965,ok
2026-05-27T10:01:28.724,alice,JOIN,start,596,ok
2026-05-27T10:01:31.627,bob,LEAVE,graceful,902,ok
2026-05-27T10:01:32.360,duc,JOIN,start,566,ok
2026-05-27T10:01:51.009,bob,JOIN,start,595,ok
2026-05-27T10:01:53.972,hoan,LEAVE,graceful,962,ok
2026-05-27T10:02:10.560,hoan,JOIN,start,538,ok
2026-05-27T10:02:29.329,duc,LEAVE,graceful,857,ok
2026-05-27T10:02:30.305,hoang,LEAVE,graceful,974,ok
2026-05-27T10:02:47.054,alice,LEAVE,graceful,865,ok
2026-05-27T10:02:47.834,duc,JOIN,start,609,ok
2026-05-27T10:03:06.361,alice,JOIN,start,467,ok
2026-05-27T10:03:08.918,duc,CRASH,kill,555,ok
2026-05-27T10:03:25.564,bob,LEAVE,graceful,799,ok
2026-05-27T10:03:42.105,bob,JOIN,start,526,ok
2026-05-27T10:03:44.778,duc,JOIN,start,519,ok
2026-05-27T10:03:47.627,hoan,LEAVE,graceful,848,ok
